"Date","Price","Open","High","Low","Vol.","Change %"
"08/23/2023","7,246.62","7,265.98","7,295.36","7,224.07","39.13M","0.08%"
"08/22/2023","7,240.88","7,227.10","7,293.63","7,223.07","39.82M","0.59%"
"08/21/2023","7,198.06","7,165.07","7,259.32","7,165.07","39.85M","0.47%"
"08/18/2023","7,164.11","7,163.21","7,172.99","7,092.72","49.42M","-0.38%"
"08/17/2023","7,191.74","7,229.06","7,261.90","7,183.50","44.49M","-0.94%"
"08/16/2023","7,260.25","7,246.73","7,301.11","7,241.10","35.67M","-0.10%"
"08/15/2023","7,267.70","7,355.08","7,357.71","7,236.56","36.01M","-1.10%"
"08/14/2023","7,348.84","7,326.78","7,371.93","7,309.94","37.85M","0.12%"
"08/11/2023","7,340.19","7,391.25","7,406.89","7,317.76","45.99M","-1.26%"
"08/10/2023","7,433.62","7,373.55","7,464.79","7,368.95","55.46M","1.52%"
"08/09/2023","7,322.04","7,351.02","7,381.38","7,317.38","49.54M","0.72%"
"08/08/2023","7,269.47","7,271.05","7,325.73","7,219.12","59.93M","-0.69%"
"08/07/2023","7,319.76","7,290.37","7,330.24","7,269.48","40.39M","0.06%"
"08/04/2023","7,315.07","7,286.98","7,323.19","7,244.19","67.38M","0.75%"
"08/03/2023","7,260.53","7,256.06","7,271.83","7,213.87","70.02M","-0.72%"
"08/02/2023","7,312.84","7,312.91","7,377.01","7,287.04","66.10M","-1.26%"
"08/01/2023","7,406.08","7,478.10","7,499.53","7,403.16","53.83M","-1.22%"
"07/31/2023","7,497.78","7,473.12","7,526.05","7,464.65","60.79M","0.29%"
"07/28/2023","7,476.47","7,449.20","7,498.94","7,416.20","68.28M","0.15%"
"07/27/2023","7,465.24","7,358.66","7,477.11","7,340.03","81.04M","2.05%"
"07/26/2023","7,315.07","7,363.54","7,369.07","7,251.02","61.67M","-1.35%"
"07/25/2023","7,415.45","7,449.94","7,450.37","7,401.83","46.59M","-0.16%"
"07/24/2023","7,427.31","7,405.66","7,435.93","7,390.82","42.72M","-0.07%"
"07/21/2023","7,432.77","7,389.51","7,433.31","7,379.62","50.21M","0.65%"
"07/20/2023","7,384.91","7,302.22","7,391.45","7,301.12","52.03M","0.79%"
"07/19/2023","7,326.94","7,369.80","7,382.89","7,317.54","44.83M","0.11%"
"07/18/2023","7,319.18","7,280.19","7,326.72","7,275.52","36.85M","0.38%"
"07/17/2023","7,291.66","7,314.17","7,332.50","7,268.73","35.65M","-1.12%"
"07/14/2023","7,374.54","7,353.92","7,403.15","7,353.92","38.96M","0.06%"
"07/13/2023","7,369.80","7,346.56","7,409.01","7,335.61","53.76M","0.50%"
"07/12/2023","7,333.01","7,241.06","7,348.06","7,231.33","60.35M","1.57%"
"07/11/2023","7,220.01","7,176.18","7,244.96","7,172.14","43.94M","1.07%"
"07/10/2023","7,143.69","7,082.46","7,173.65","7,082.46","41.30M","0.45%"
"07/07/2023","7,111.88","7,098.75","7,151.07","7,052.77","55.69M","0.42%"
"07/06/2023","7,082.29","7,239.90","7,240.20","7,065.26","83.22M","-3.13%"
"07/05/2023","7,310.81","7,327.78","7,352.12","7,294.60","60.27M","-0.80%"
"07/04/2023","7,369.93","7,390.91","7,401.46","7,368.97","38.12M","-0.23%"
"07/03/2023","7,386.70","7,415.17","7,426.60","7,386.70","46.76M","-0.18%"
"06/30/2023","7,400.06","7,339.89","7,419.36","7,337.28","84.28M","1.19%"
"06/29/2023","7,312.73","7,295.76","7,349.18","7,288.65","60.93M","0.36%"
"06/28/2023","7,286.32","7,250.68","7,292.89","7,250.68","53.59M","0.98%"
"06/27/2023","7,215.58","7,212.83","7,236.21","7,161.72","49.89M","0.43%"
"06/26/2023","7,184.35","7,175.88","7,203.46","7,105.72","52.61M","0.29%"
"06/23/2023","7,163.42","7,165.38","7,193.78","7,128.64","51.94M","-0.55%"
"06/22/2023","7,203.28","7,194.26","7,206.89","7,145.06","53.70M","-0.79%"
"06/21/2023","7,260.97","7,273.89","7,297.85","7,246.86","48.41M","-0.46%"
"06/20/2023","7,294.17","7,303.24","7,322.57","7,281.12","55.85M","-0.27%"
"06/19/2023","7,314.05","7,353.31","7,362.44","7,302.63","51.93M","-1.01%"
"06/16/2023","7,388.65","7,312.07","7,403.88","7,297.73","170.73M","1.34%"
"06/15/2023","7,290.91","7,304.97","7,313.47","7,246.33","60.42M","-0.51%"
"06/14/2023","7,328.53","7,290.94","7,358.99","7,288.46","66.15M","0.52%"
"06/13/2023","7,290.80","7,290.31","7,308.00","7,244.42","65.50M","0.56%"
"06/12/2023","7,250.35","7,250.15","7,283.33","7,237.85","56.91M","0.52%"
"06/09/2023","7,213.14","7,230.95","7,239.52","7,185.26","57.29M","-0.12%"
"06/08/2023","7,222.15","7,196.22","7,236.15","7,184.19","51.06M","0.27%"
