"Date","Price","Open","High","Low","Vol.","Change %"
"02/06/2025","68.26","66.75","68.45","66.55","4.20M","2.80%"
"02/05/2025","66.40","66.97","67.38","65.87","3.17M","-0.97%"
"02/04/2025","67.05","66.50","67.05","65.02","5.24M","4.24%"
"02/03/2025","64.32","64.18","64.85","63.80","4.01M","-2.13%"
"01/31/2025","65.72","65.60","66.07","65.45","2.93M","0.09%"
"01/30/2025","65.66","64.79","65.93","64.58","2.84M","1.53%"
"01/29/2025","64.67","64.49","64.80","64.06","2.13M","0.14%"
"01/28/2025","64.58","64.23","65.04","64.05","2.44M","0.54%"
"01/27/2025","64.23","63.43","64.53","63.37","3.00M","0.97%"
"01/24/2025","63.61","63.74","64.38","63.37","1.86M","0.36%"
"01/23/2025","63.38","62.56","63.44","62.53","2.41M","1.72%"
"01/22/2025","62.31","63.04","63.18","62.13","2.83M","-1.27%"
"01/21/2025","63.11","63.03","63.21","62.73","1.84M","0.25%"
"01/20/2025","62.95","62.51","63.25","62.43","2.58M","1.14%"
"01/17/2025","62.24","62.56","62.74","62.03","3.35M","0.05%"
"01/16/2025","62.21","62.80","62.80","61.96","2.41M","0.21%"
"01/15/2025","62.08","61.03","62.35","60.48","4.24M","2.09%"
"01/14/2025","60.81","60.63","61.42","60.63","3.61M","1.96%"
"01/13/2025","59.64","59.29","59.84","58.80","2.25M","0.49%"
"01/10/2025","59.35","59.79","60.21","59.20","3.18M","-1.00%"
"01/09/2025","59.95","59.61","60.21","59.04","1.76M","-0.32%"
"01/08/2025","60.14","60.39","60.90","59.29","2.53M","-0.43%"
"01/07/2025","60.40","59.92","61.08","59.34","3.01M","0.62%"
"01/06/2025","60.03","59.43","60.37","59.00","3.44M","2.63%"
"01/03/2025","58.49","59.18","59.43","58.18","2.64M","-1.28%"
"01/02/2025","59.25","59.54","60.00","57.92","1.57M","0.05%"
"12/31/2024","59.22","58.54","59.40","58.49","796.69K","0.83%"
"12/30/2024","58.73","58.47","59.33","58.42","1.67M","0.32%"
"12/27/2024","58.54","57.90","58.67","57.90","2.34M","1.74%"
"12/24/2024","57.54","57.82","57.91","57.54","479.69K","0.17%"
"12/23/2024","57.44","57.52","57.53","57.01","1.40M","-0.07%"
"12/20/2024","57.48","57.36","57.60","56.60","4.84M","-0.57%"
"12/19/2024","57.81","57.58","58.09","57.22","2.80M","-1.40%"
"12/18/2024","58.63","58.32","59.21","58.24","2.89M","0.65%"
"12/17/2024","58.25","58.57","58.84","58.25","3.08M","-0.97%"
"12/16/2024","58.82","58.64","59.29","58.45","1.78M","-0.20%"
"12/13/2024","58.94","59.01","59.35","58.77","2.16M","0.03%"
"12/12/2024","58.92","59.78","59.93","58.70","3.06M","-1.12%"
"12/11/2024","59.59","59.59","59.98","59.38","1.81M","-0.18%"
"12/10/2024","59.70","59.87","60.12","59.47","3.02M","-0.60%"
"12/09/2024","60.06","59.19","60.27","59.19","3.64M","2.54%"
"12/06/2024","58.57","57.96","59.10","57.89","3.76M","1.04%"
"12/05/2024","57.97","56.36","58.09","56.29","3.65M","2.60%"
"12/04/2024","56.50","55.83","56.82","55.80","2.63M","1.29%"
"12/03/2024","55.78","56.23","56.91","55.52","3.63M","-0.29%"
