"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2024","52.75","52.11","52.75","52.08","3.49M","1.42%"
"12/24/2024","52.01","52.00","52.33","51.93","1.16M","0.31%"
"12/23/2024","51.85","51.92","52.03","51.60","2.82M","-0.08%"
"12/20/2024","51.89","51.44","51.91","51.16","10.65M","-0.08%"
"12/19/2024","51.93","52.00","52.22","51.77","4.86M","-0.52%"
"12/18/2024","52.20","51.67","52.21","51.58","3.93M","1.01%"
"12/17/2024","51.68","51.10","51.96","50.80","5.80M","-1.17%"
"12/16/2024","52.29","53.15","53.26","52.17","4.39M","-2.01%"
"12/13/2024","53.36","53.41","53.91","53.11","4.28M","-0.02%"
"12/12/2024","53.37","53.97","54.07","53.31","4.77M","-0.21%"
"12/11/2024","53.48","53.74","54.34","53.29","5.97M","-1.60%"
"12/10/2024","54.35","54.50","54.94","54.30","5.33M","-1.11%"
"12/09/2024","54.96","54.27","55.32","54.26","4.92M","1.35%"
"12/06/2024","54.23","54.24","54.85","53.93","4.64M","0.31%"
"12/05/2024","54.06","54.15","54.96","54.02","5.52M","0.22%"
"12/04/2024","53.94","54.28","54.39","53.67","5.47M","-0.37%"
"12/03/2024","54.14","54.03","54.70","53.88","5.49M","0.63%"
"12/02/2024","53.80","54.21","54.80","53.68","6.00M","-2.13%"
"11/29/2024","54.97","53.98","54.98","53.90","4.55M","1.38%"
"11/28/2024","54.22","53.95","54.37","53.95","3.28M","0.22%"
"11/27/2024","54.10","54.70","54.72","53.68","5.26M","-1.51%"
"11/26/2024","54.93","55.21","55.74","54.93","4.76M","-1.70%"
"11/25/2024","55.88","57.05","57.39","55.88","7.52M","-2.12%"
"11/22/2024","57.09","57.27","57.64","56.51","4.70M","-0.16%"
"11/21/2024","57.18","57.09","57.52","56.82","3.14M","-0.33%"
"11/20/2024","57.37","57.48","57.77","57.26","3.08M","-0.17%"
"11/19/2024","57.47","57.71","58.32","56.93","3.91M","-1.08%"
"11/18/2024","58.10","57.63","58.23","57.43","2.87M","1.03%"
"11/15/2024","57.51","56.89","58.09","56.69","3.88M","0.63%"
"11/14/2024","57.15","56.75","57.45","56.49","4.96M","2.35%"
"11/13/2024","55.84","55.91","56.27","55.19","4.17M","0.22%"
"11/12/2024","55.72","57.03","57.05","55.44","5.10M","-2.52%"
"11/11/2024","57.16","57.15","57.46","57.04","3.67M","0.56%"
"11/08/2024","56.84","57.87","57.96","56.77","3.33M","-1.56%"
"11/07/2024","57.74","57.79","58.18","57.74","3.79M","0.30%"
"11/06/2024","57.57","58.11","58.86","56.93","5.49M","-1.24%"
"11/05/2024","58.29","58.00","58.37","57.76","2.83M","0.36%"
"11/04/2024","58.08","58.00","58.44","57.91","2.76M","0.31%"
"11/01/2024","57.90","57.53","58.70","57.53","3.75M","0.87%"
"10/31/2024","57.40","58.10","58.38","57.17","6.13M","-2.94%"
"10/30/2024","59.14","59.00","59.57","58.93","3.56M","-0.44%"
"10/29/2024","59.40","60.00","60.42","59.36","3.26M","-0.55%"
"10/28/2024","59.73","59.68","59.73","58.74","3.82M","-0.90%"
"10/25/2024","60.27","59.86","60.46","59.75","2.46M","0.32%"
"10/24/2024","60.08","60.32","60.99","59.88","2.68M","0.12%"
"10/23/2024","60.01","59.98","60.44","59.81","2.98M","-0.40%"
"10/22/2024","60.25","59.95","60.38","59.68","2.59M","0.52%"
"10/21/2024","59.94","59.50","60.39","59.50","2.82M","0.47%"
"10/18/2024","59.66","59.81","60.49","59.54","3.16M","-0.20%"
"10/17/2024","59.78","59.46","60.32","59.43","3.10M","0.62%"
"10/16/2024","59.41","59.81","60.46","59.41","4.30M","-0.13%"
"10/15/2024","59.49","60.56","60.56","59.25","7.46M","-4.80%"
"10/14/2024","62.49","62.22","62.77","62.16","2.28M","0.19%"
"10/11/2024","62.37","62.44","62.63","62.06","2.52M","-0.06%"
"10/10/2024","62.41","62.23","62.69","62.01","3.05M","0.69%"
"10/09/2024","61.98","61.63","62.12","61.54","2.58M","-0.16%"
"10/08/2024","62.08","63.02","63.24","61.92","3.14M","-1.90%"
"10/07/2024","63.28","62.80","63.48","62.37","3.71M","1.01%"
"10/04/2024","62.65","61.97","63.04","61.60","4.54M","1.84%"
"10/03/2024","61.52","61.20","61.77","60.98","3.95M","1.45%"
"10/02/2024","60.64","60.18","61.47","60.17","5.18M","2.24%"
"10/01/2024","59.31","58.09","59.52","57.83","4.96M","1.38%"
"09/30/2024","58.50","59.61","59.64","58.21","5.76M","-1.10%"
"09/27/2024","59.15","58.83","59.62","58.83","4.69M","-0.25%"
"09/26/2024","59.30","59.31","59.57","58.25","7.50M","-2.32%"
"09/25/2024","60.71","61.14","61.56","60.36","5.13M","-3.17%"
"09/24/2024","62.70","62.49","63.17","62.44","3.73M","0.93%"
"09/23/2024","62.12","62.58","62.81","61.85","3.23M","0.21%"
"09/20/2024","61.99","62.13","62.58","61.74","7.47M","-1.05%"
"09/19/2024","62.65","62.01","62.76","61.92","3.89M","2.32%"
"09/18/2024","61.23","61.58","61.65","61.04","2.82M","-0.28%"
