"Date","Price","Open","High","Low","Vol.","Change %"
"07/28/2025","489.20","495.75","500.20","487.55","667.77K","0.10%"
"07/25/2025","488.70","464.95","494.40","460.10","1.00M","3.92%"
"07/24/2025","470.25","483.25","483.50","463.75","522.41K","-2.02%"
"07/23/2025","479.95","477.15","480.85","473.35","466.96K","3.09%"
"07/22/2025","465.55","466.15","470.20","463.55","413.26K","-0.69%"
"07/21/2025","468.80","474.15","474.85","465.30","352.50K","-0.84%"
"07/18/2025","472.75","481.00","484.40","470.60","451.19K","-0.86%"
"07/17/2025","476.85","479.35","485.35","472.25","429.16K","0.26%"
"07/16/2025","475.60","474.35","479.40","469.55","402.06K","-0.37%"
"07/15/2025","477.35","479.45","486.50","477.35","414.12K","-0.46%"
"07/14/2025","479.55","481.50","484.15","477.45","416.10K","-1.67%"
"07/11/2025","487.70","501.00","501.30","487.70","483.69K","-3.43%"
"07/10/2025","505.00","489.75","505.00","488.30","685.44K","3.52%"
"07/09/2025","487.85","483.35","489.60","479.65","459.38K","1.08%"
"07/08/2025","482.65","474.75","484.90","472.85","417.53K","1.54%"
"07/07/2025","475.35","478.00","479.15","470.60","327.39K","-0.42%"
"07/04/2025","477.35","482.70","483.60","474.90","359.25K","-1.76%"
"07/03/2025","485.90","495.00","495.25","485.05","600.09K","-0.53%"
"07/02/2025","488.50","474.20","492.65","466.15","1.09M","4.15%"
"07/01/2025","469.05","446.50","469.05","446.50","676.42K","5.50%"
"06/30/2025","444.60","449.95","452.95","444.60","627.50K","-1.05%"
"06/27/2025","449.30","441.10","449.30","440.30","536.06K","2.69%"
"06/26/2025","437.55","445.30","449.80","436.55","561.54K","-1.63%"
"06/25/2025","444.80","453.65","456.00","443.85","480.19K","-1.93%"
"06/24/2025","453.55","465.10","467.20","450.00","513.99K","0.83%"
"06/23/2025","449.80","445.70","451.30","444.02","399.24K","-0.03%"
"06/20/2025","449.95","454.75","457.00","448.70","1.52M","-0.57%"
"06/19/2025","452.55","456.00","459.80","450.55","475.58K","-2.48%"
